,sentence,Agent,Role,Team,embedded
868,I'm convinced Agent[00] is not the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.0073409   0.00828766 -0.02513742 ... -0.01414666  0.02922637
  0.00246812]"
869,I'm convinced Agent[00] is not the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.00023018  0.00459841 -0.03179453 ...  0.01205668  0.01445705
  0.02282403]"
870,I'm convinced Agent[00] is not the POSSESSED.,Agent[00],POSSESSED,,"[-0.02154815  0.01720522 -0.05638871 ...  0.00600448  0.02869386
  0.00190263]"
871,I'm convinced Agent[01] is not the VILLAGER.,Agent[01],VILLAGER,,"[-0.02569678 -0.00396572 -0.0475887  ... -0.00651162  0.01002272
  0.02839655]"
872,I'm convinced Agent[01] is not the SEER.,Agent[01],SEER,,"[-0.02090566 -0.00581906 -0.03503369 ... -0.01039715  0.01338821
  0.0104767 ]"
873,I'm convinced Agent[01] is not the MEDIUM.,Agent[01],MEDIUM,,"[-0.009991    0.0129291   0.00309351 ... -0.02764917  0.01657766
  0.01906431]"
874,I'm convinced Agent[01] is not the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.00839247  0.00983001 -0.02246664 ... -0.01125386  0.0280388
 -0.00158215]"
875,I'm convinced Agent[01] is not the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.00206331  0.00474237 -0.02833177 ...  0.01583966  0.01305684
  0.02019421]"
876,I'm convinced Agent[01] is not the POSSESSED.,Agent[01],POSSESSED,,"[-0.02169083  0.01871664 -0.0542824  ...  0.00999466  0.02805421
 -0.00088145]"
877,I'm convinced Agent[02] is not the VILLAGER.,Agent[02],VILLAGER,,"[-0.02236648 -0.00418062 -0.05579746 ... -0.0041911   0.01056156
  0.03115381]"
878,I'm convinced Agent[02] is not the SEER.,Agent[02],SEER,,"[-0.01913642 -0.00424901 -0.04477319 ... -0.00951272  0.01327024
  0.01349221]"
879,I'm convinced Agent[02] is not the MEDIUM.,Agent[02],MEDIUM,,"[-0.00674727  0.01435228 -0.00739427 ... -0.02558417  0.01761315
  0.02145817]"
880,I'm convinced Agent[02] is not the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.00814163  0.01035837 -0.03232247 ... -0.00875174  0.02809234
  0.00076052]"
881,I'm convinced Agent[02] is not the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.00061399  0.0040842  -0.03877777 ...  0.01780834  0.01158837
  0.02275435]"
882,I'm convinced Agent[02] is not the POSSESSED.,Agent[02],POSSESSED,,"[-0.02003475  0.0182408  -0.06118611 ...  0.01088012  0.02677235
  0.00096202]"
883,I'm convinced Agent[03] is not the VILLAGER.,Agent[03],VILLAGER,,"[-0.02622666 -0.00582584 -0.05170517 ...  0.00224617  0.01967346
  0.03189317]"
884,I'm convinced Agent[03] is not the SEER.,Agent[03],SEER,,"[-0.02150047 -0.00513798 -0.04287447 ... -0.00486132  0.02055192
  0.01467882]"
885,I'm convinced Agent[03] is not the MEDIUM.,Agent[03],MEDIUM,,"[-0.00360415  0.00824904 -0.00434342 ... -0.02129081  0.02588385
  0.02379471]"
886,I'm convinced Agent[03] is not the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01032739  0.00859714 -0.02543998 ... -0.00516707  0.03703801
  0.00204115]"
887,I'm convinced Agent[03] is not the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.00394196  0.00181154 -0.03270267 ...  0.0238146   0.02157562
  0.02374675]"
888,I'm convinced Agent[03] is not the POSSESSED.,Agent[03],POSSESSED,,"[-0.02076579  0.01431415 -0.05487318 ...  0.01550585  0.03627164
  0.00341074]"
889,I'm convinced Agent[04] is not the VILLAGER.,Agent[04],VILLAGER,,"[-0.02326317  0.00199616 -0.05680412 ... -0.00442401  0.01714346
  0.02762846]"
890,I'm convinced Agent[04] is not the SEER.,Agent[04],SEER,,"[-0.01918696  0.0012718  -0.04565932 ... -0.00949927  0.01913986
  0.01033144]"
891,I'm convinced Agent[04] is not the MEDIUM.,Agent[04],MEDIUM,,"[-0.00043625  0.01384468 -0.00695691 ... -0.02417057  0.02125105
  0.02215764]"
892,I'm convinced Agent[04] is not the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00877464  0.01666104 -0.03340283 ... -0.00991184  0.03461405
 -0.00211964]"
893,I'm convinced Agent[04] is not the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.00099334  0.01244128 -0.03882653 ...  0.01879052  0.01839793
  0.0196028 ]"
894,I'm convinced Agent[04] is not the POSSESSED.,Agent[04],POSSESSED,,"[-0.01932527  0.02393297 -0.06136382 ...  0.00990657  0.03390731
 -0.00308649]"
895,I don't believe Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.02568496  0.01610286 -0.01887591 ... -0.01573221  0.02056444
  0.04332535]"
896,I don't believe Agent[00] is the SEER.,Agent[00],SEER,,"[-0.01456674  0.00240864 -0.01655799 ... -0.02378775  0.01380088
  0.01844202]"
897,I don't believe Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-0.00547887  0.02209317  0.02551376 ... -0.04670366  0.02179701
  0.02752761]"
898,I don't believe Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.00670208  0.03014283  0.01085036 ... -0.02813154  0.03882312
  0.00864059]"
899,I don't believe Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,[0.00110124 0.02548835 0.00788152 ... 0.00033962 0.02051533 0.03240902]
900,I don't believe Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.01516468  0.02924319 -0.02535802 ...  0.0038225   0.04155317
  0.00554228]"
901,I don't believe Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.03006489  0.01584428 -0.01752206 ... -0.0105606   0.01975461
  0.03623482]"
902,I don't believe Agent[01] is the SEER.,Agent[01],SEER,,"[-0.01957485  0.00269116 -0.01190854 ... -0.01621137  0.01093889
  0.01607501]"
903,I don't believe Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.00564673  0.02485432  0.0274851  ... -0.04154015  0.02175843
  0.02344446]"
904,I don't believe Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.0076397   0.02922789  0.00716997 ... -0.02443922  0.03507347
  0.00330771]"
905,I don't believe Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.00286244  0.02596966  0.0086777  ...  0.00529035  0.02160544
  0.02778386]"
906,I don't believe Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.01729904  0.02908206 -0.02637865 ...  0.00599391  0.03951336
  0.00214873]"
907,I don't believe Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.02651321  0.01427635 -0.02590942 ... -0.01021752  0.02235375
  0.03979665]"
908,I don't believe Agent[02] is the SEER.,Agent[02],SEER,,"[-0.0170649   0.00234191 -0.01932216 ... -0.01741101  0.01473992
  0.01993914]"
909,I don't believe Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[-8.21607973e-05  2.55340878e-02  1.75564885e-02 ... -4.18643616e-02
  2.57504787e-02  2.73517687e-02]"
910,I don't believe Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.00681347  0.02553587 -0.00849244 ... -0.02303695  0.03711943
  0.00587963]"
911,I don't believe Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[ 0.00041155  0.02568755 -0.00195319 ...  0.00495582  0.02257998
  0.0298978 ]"
912,I don't believe Agent[02] is the POSSESSED.,Agent[02],POSSESSED,,"[-0.01362694  0.02859775 -0.03300568 ...  0.00545279  0.04112271
  0.00526801]"
913,I don't believe Agent[03] is the VILLAGER.,Agent[03],VILLAGER,,"[-0.02725985  0.01297234 -0.02092313 ... -0.00285949  0.02853516
  0.04096948]"
914,I don't believe Agent[03] is the SEER.,Agent[03],SEER,,"[-0.01878372  0.00295377 -0.01627019 ... -0.01112273  0.02203475
  0.02095107]"
915,I don't believe Agent[03] is the MEDIUM.,Agent[03],MEDIUM,,"[-0.00163296  0.02414522  0.02134432 ... -0.03659847  0.03352466
  0.0273914 ]"
916,I don't believe Agent[03] is the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.00481296  0.02570843  0.00100597 ... -0.0179553   0.04578536
  0.00969141]"
917,I don't believe Agent[03] is the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.00089094  0.02355665  0.00528418 ...  0.0159187   0.03082909
  0.03274488]"
918,I don't believe Agent[03] is the POSSESSED.,Agent[03],POSSESSED,,"[-0.01414253  0.02844531 -0.02561413 ...  0.01002931  0.04978596
  0.00595615]"
919,I don't believe Agent[04] is the VILLAGER.,Agent[04],VILLAGER,,"[-0.02690292  0.023464   -0.02624159 ... -0.0114344   0.03018312
  0.03621445]"
920,I don't believe Agent[04] is the SEER.,Agent[04],SEER,,"[-0.01687044  0.00994733 -0.02023563 ... -0.01821948  0.02090274
  0.01735965]"
921,I don't believe Agent[04] is the MEDIUM.,Agent[04],MEDIUM,,"[ 0.00046237  0.03163393  0.02022022 ... -0.03986107  0.03189465
  0.02473936]"
922,I don't believe Agent[04] is the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00592933  0.03560817 -0.00867015 ... -0.02505712  0.04454886
  0.00342361]"
923,I don't believe Agent[04] is the WEREWOLF.,Agent[04],WEREWOLF,,"[ 0.00019576  0.03589176 -0.00141374 ...  0.00978525  0.02886837
  0.02906833]"
924,I don't believe Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.01315915  0.03666999 -0.03116151 ...  0.00477335  0.04747407
  0.00206734]"
925,Agent[00]'s behavior doesn't looks like the VILLAGER.,Agent[00],VILLAGER,,"[-0.03088236  0.02590037 -0.0327131  ... -0.01146459 -0.01454082
  0.0394658 ]"
926,Agent[00]'s behavior doesn't looks like the SEER.,Agent[00],SEER,,"[-0.03081899  0.0133538  -0.01047582 ... -0.01474345 -0.01596864
  0.01838614]"
927,Agent[00]'s behavior doesn't looks like the MEDIUM.,Agent[00],MEDIUM,,"[-0.01633803  0.01913064  0.02553482 ... -0.02851579 -0.00450422
  0.02171852]"
928,Agent[00]'s behavior doesn't looks like the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.02128131  0.03032258  0.0010763  ... -0.01922183  0.00609446
  0.00575121]"
929,Agent[00]'s behavior doesn't looks like the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.02725117  0.02953944 -0.00214896 ...  0.00785291 -0.00705425
  0.02699857]"
930,Agent[00]'s behavior doesn't looks like the POSSESSED.,Agent[00],POSSESSED,,"[-0.04207683  0.03974251 -0.02536725 ...  0.00029294  0.00720979
  0.0104084 ]"
931,Agent[01]'s behavior doesn't looks like the VILLAGER.,Agent[01],VILLAGER,,"[-0.02629741  0.01770398 -0.03172724 ... -0.00684052 -0.02076111
  0.03507335]"
932,Agent[01]'s behavior doesn't looks like the SEER.,Agent[01],SEER,,"[-0.03175784  0.00799014 -0.0137927  ... -0.00955269 -0.0242238
  0.0158198 ]"
933,Agent[01]'s behavior doesn't looks like the MEDIUM.,Agent[01],MEDIUM,,"[-0.01524248  0.01594659  0.02120345 ... -0.02197157 -0.00988161
  0.01937915]"
934,Agent[01]'s behavior doesn't looks like the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.02352145  0.02425385 -0.00050749 ... -0.01392977 -0.00233278
  0.00331519]"
935,Agent[01]'s behavior doesn't looks like the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.02703891  0.02403135 -0.0025057  ...  0.01251937 -0.01306686
  0.02496574]"
936,Agent[01]'s behavior doesn't looks like the POSSESSED.,Agent[01],POSSESSED,,"[-0.04076906  0.0282065  -0.02909536 ...  0.00597388  0.00174994
  0.0095108 ]"
937,Agent[02]'s behavior doesn't looks like the VILLAGER.,Agent[02],VILLAGER,,"[-0.02018486  0.01812703 -0.04024867 ... -0.00487977 -0.02066905
  0.03834215]"
938,Agent[02]'s behavior doesn't looks like the SEER.,Agent[02],SEER,,"[-0.02535014  0.0072459  -0.02230543 ... -0.00662771 -0.02523239
  0.01821779]"
939,Agent[02]'s behavior doesn't looks like the MEDIUM.,Agent[02],MEDIUM,,"[-0.00966048  0.01265004  0.01940332 ... -0.0207375  -0.01036052
  0.02129753]"
940,Agent[02]'s behavior doesn't looks like the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01748021  0.02378317 -0.00967154 ... -0.0121367  -0.00281882
  0.00562364]"
941,Agent[02]'s behavior doesn't looks like the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.01780588  0.02324777 -0.01246557 ...  0.01439563 -0.01687713
  0.02781897]"
942,Agent[02]'s behavior doesn't looks like the POSSESSED.,Agent[02],POSSESSED,,"[-0.03480069  0.03406266 -0.03562387 ...  0.00583323  0.00188054
  0.01384505]"
943,Agent[03]'s behavior doesn't looks like the VILLAGER.,Agent[03],VILLAGER,,"[-0.02251889  0.01907166 -0.02975657 ...  0.00118732 -0.01512451
  0.04047132]"
944,Agent[03]'s behavior doesn't looks like the SEER.,Agent[03],SEER,,"[-0.02822175  0.0095657  -0.01607906 ... -0.00315451 -0.02043241
  0.02059921]"
945,Agent[03]'s behavior doesn't looks like the MEDIUM.,Agent[03],MEDIUM,,"[-0.00974387  0.01415957  0.02934567 ... -0.01618004 -0.00545038
  0.02302356]"
946,Agent[03]'s behavior doesn't looks like the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01715534  0.02153933  0.00642092 ... -0.00566676  0.00597336
  0.00903581]"
947,Agent[03]'s behavior doesn't looks like the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.01979939  0.02318292 -0.00011285 ...  0.02170621 -0.01109684
  0.03076719]"
948,Agent[03]'s behavior doesn't looks like the POSSESSED.,Agent[03],POSSESSED,,"[-0.03478248  0.03349527 -0.01789493 ...  0.01281607  0.00632409
  0.01572627]"
949,Agent[04]'s behavior doesn't looks like the VILLAGER.,Agent[04],VILLAGER,,"[-0.01894349  0.02635941 -0.03797668 ... -0.00823825 -0.01335912
  0.03483688]"
950,Agent[04]'s behavior doesn't looks like the SEER.,Agent[04],SEER,,"[-0.02621745  0.01576208 -0.02190887 ... -0.01172798 -0.01771674
  0.01643582]"
951,Agent[04]'s behavior doesn't looks like the MEDIUM.,Agent[04],MEDIUM,,"[-0.00850049  0.0188936   0.02290726 ... -0.02447357 -0.0032815
  0.01882833]"
952,Agent[04]'s behavior doesn't looks like the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.01354     0.02995488 -0.0032097  ... -0.01552437  0.00739055
  0.00235951]"
953,Agent[04]'s behavior doesn't looks like the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.01708452  0.03240804 -0.00938015 ...  0.01109855 -0.0097849
  0.02516523]"
954,Agent[04]'s behavior doesn't looks like the POSSESSED.,Agent[04],POSSESSED,,"[-0.03369766  0.0389485  -0.03193777 ...  0.00209348  0.00949189
  0.01129506]"
955,"Anya, I think Agent[00] is not the VILLAGER.",Agent[00],VILLAGER,,"[-0.01306481  0.0067291  -0.02338277 ... -0.01508699  0.029401
  0.03406651]"
956,"Anya, I think Agent[00] is not the SEER.",Agent[00],SEER,,"[-0.00091441 -0.00494655 -0.01145197 ... -0.02167205  0.01978621
  0.01129228]"
957,"Anya, I think Agent[00] is not the MEDIUM.",Agent[00],MEDIUM,,"[ 0.00207204  0.01187581  0.02706104 ... -0.04018154  0.0261385
  0.02438129]"
958,"Anya, I think Agent[00] is not the BODYGUARD.",Agent[00],BODYGUARD,,"[ 0.00931853  0.01525943  0.00040134 ... -0.02202804  0.03874266
  0.00461254]"
959,"Anya, I think Agent[00] is not the WEREWOLF.",Agent[00],WEREWOLF,,[0.0104735  0.01439635 0.00423718 ... 0.00834863 0.03201145 0.02123619]
960,"Anya, I think Agent[00] is not the POSSESSED.",Agent[00],POSSESSED,,"[-0.00154455  0.02182521 -0.0229534  ...  0.00104761  0.03956742
  0.00228661]"
961,"Anya, I think Agent[01] is not the VILLAGER.",Agent[01],VILLAGER,,"[-0.01601389  0.01281521 -0.02342066 ... -0.00963698  0.02523484
  0.02684441]"
962,"Anya, I think Agent[01] is not the SEER.",Agent[01],SEER,,"[-0.00530578  0.00292268  0.00016335 ... -0.01837539  0.01964938
  0.00597275]"
963,"Anya, I think Agent[01] is not the MEDIUM.",Agent[01],MEDIUM,,"[ 0.0019314   0.02198939  0.02409247 ... -0.03456498  0.02271903
  0.01590905]"
964,"Anya, I think Agent[01] is not the BODYGUARD.",Agent[01],BODYGUARD,,"[ 0.00586715  0.02218586 -0.00651505 ... -0.01912303  0.03327224
 -0.00279287]"
965,"Anya, I think Agent[01] is not the WEREWOLF.",Agent[01],WEREWOLF,,"[ 0.0073751   0.02077768 -0.00300762 ...  0.01231225  0.02744222
  0.0185725 ]"
966,"Anya, I think Agent[01] is not the POSSESSED.",Agent[01],POSSESSED,,"[-0.0040201   0.02698352 -0.02474939 ...  0.00304183  0.03737826
  0.00031334]"
967,"Anya, I think Agent[02] is not the VILLAGER.",Agent[02],VILLAGER,,"[-0.01398446  0.01410595 -0.02931878 ... -0.00779539  0.02668657
  0.02950776]"
968,"Anya, I think Agent[02] is not the SEER.",Agent[02],SEER,,"[-0.00354524  0.00493426 -0.00801404 ... -0.01775011  0.02059071
  0.00872787]"
969,"Anya, I think Agent[02] is not the MEDIUM.",Agent[02],MEDIUM,,"[ 0.00468696  0.02499713  0.01763342 ... -0.03317903  0.02436233
  0.0194955 ]"
970,"Anya, I think Agent[02] is not the BODYGUARD.",Agent[02],BODYGUARD,,"[ 0.00628092  0.0239922  -0.01121822 ... -0.01937633  0.03327535
  0.00086467]"
971,"Anya, I think Agent[02] is not the WEREWOLF.",Agent[02],WEREWOLF,,"[ 0.00976487  0.02237481 -0.01069314 ...  0.01259789  0.02910172
  0.02127777]"
972,"Anya, I think Agent[02] is not the POSSESSED.",Agent[02],POSSESSED,,"[-0.00341938  0.0289626  -0.03088641 ...  0.00401892  0.03792282
  0.00220547]"
973,"Anya, I think Agent[03] is not the VILLAGER.",Agent[03],VILLAGER,,"[-0.01665928  0.01209464 -0.02461576 ... -0.00580409  0.03275881
  0.03049315]"
974,"Anya, I think Agent[03] is not the SEER.",Agent[03],SEER,,"[-0.00557217  0.00399687 -0.00353893 ... -0.01540132  0.02592286
  0.01086591]"
975,"Anya, I think Agent[03] is not the MEDIUM.",Agent[03],MEDIUM,,"[ 0.00299249  0.02265993  0.02177379 ... -0.03246376  0.02965061
  0.01986085]"
976,"Anya, I think Agent[03] is not the BODYGUARD.",Agent[03],BODYGUARD,,"[ 0.00043782  0.02220638 -0.00227795 ... -0.01641786  0.04069889
  0.00304793]"
977,"Anya, I think Agent[03] is not the WEREWOLF.",Agent[03],WEREWOLF,,"[ 0.00722163  0.01966919 -0.00372768 ...  0.01470695  0.03478367
  0.02179073]"
978,"Anya, I think Agent[03] is not the POSSESSED.",Agent[03],POSSESSED,,"[-0.00424398  0.02659821 -0.02516399 ...  0.0052023   0.04289613
  0.0030086 ]"
979,"Anya, I think Agent[04] is not the VILLAGER.",Agent[04],VILLAGER,,"[-0.01434053  0.01858022 -0.02923927 ... -0.01008755  0.03181764
  0.02712606]"
980,"Anya, I think Agent[04] is not the SEER.",Agent[04],SEER,,"[-0.00391219  0.00874146 -0.00775887 ... -0.01869115  0.02604242
  0.00650333]"
981,"Anya, I think Agent[04] is not the MEDIUM.",Agent[04],MEDIUM,,"[ 0.00465838  0.02808269  0.01803424 ... -0.03269577  0.03032652
  0.01703079]"
982,"Anya, I think Agent[04] is not the BODYGUARD.",Agent[04],BODYGUARD,,"[ 0.00333903  0.02726978 -0.00867387 ... -0.01791797  0.03963749
 -0.00091712]"
983,"Anya, I think Agent[04] is not the WEREWOLF.",Agent[04],WEREWOLF,,"[ 0.00885544  0.02781441 -0.01001438 ...  0.0116666   0.03347239
  0.01873313]"
984,"Anya, I think Agent[04] is not the POSSESSED.",Agent[04],POSSESSED,,"[-0.00290035  0.03376134 -0.0307893  ...  0.00425601  0.04275567
 -0.00059962]"
985,Agent[00] is not definitely the VILLAGER.,Agent[00],VILLAGER,,"[-0.05079057  0.03534062 -0.01802495 ... -0.01699187  0.00595178
  0.04915615]"
986,Agent[00] is not definitely the SEER.,Agent[00],SEER,,"[-0.04050706  0.01707176  0.00784542 ... -0.01849306  0.00881045
  0.02364527]"
987,Agent[00] is not definitely the MEDIUM.,Agent[00],MEDIUM,,"[-0.03372046  0.02690943  0.02630698 ... -0.0389919   0.0113043
  0.03308454]"
988,Agent[00] is not definitely the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.03290726  0.03577777  0.0074574  ... -0.01895422  0.02345234
  0.01460407]"
989,Agent[00] is not definitely the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.0420774   0.04089681  0.00462397 ...  0.00284174  0.00880144
  0.03517549]"
990,Agent[00] is not definitely the POSSESSED.,Agent[00],POSSESSED,,"[-0.05200781  0.05552852 -0.02130961 ... -0.00105776  0.02751719
  0.01947204]"
991,Agent[01] is not definitely the VILLAGER.,Agent[01],VILLAGER,,"[-0.05383266  0.03688199 -0.0169055  ... -0.00765866 -0.001066
  0.04175945]"
992,Agent[01] is not definitely the SEER.,Agent[01],SEER,,"[-0.04432086  0.02033925  0.01448083 ... -0.01054837  0.00428704
  0.01848583]"
993,Agent[01] is not definitely the MEDIUM.,Agent[01],MEDIUM,,"[-0.03444169  0.03202617  0.02509182 ... -0.02806603  0.00799011
  0.02545333]"
994,Agent[01] is not definitely the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.0393521   0.03903683 -0.0008164  ... -0.01100598  0.01682424
  0.00861992]"
995,Agent[01] is not definitely the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.04607227  0.04212742  0.00186939 ...  0.01109856  0.00528433
  0.03041064]"
996,Agent[01] is not definitely the POSSESSED.,Agent[01],POSSESSED,,"[-0.05399423  0.05533662 -0.02704186 ...  0.00922526  0.02112039
  0.01273786]"
997,Agent[02] is not definitely the VILLAGER.,Agent[02],VILLAGER,,"[-0.04468117  0.03557054 -0.02915101 ... -0.00533709  0.00041766
  0.04435042]"
998,Agent[02] is not definitely the SEER.,Agent[02],SEER,,"[-0.03864576  0.02108972  0.00315221 ... -0.01055289  0.00607153
  0.02226227]"
999,Agent[02] is not definitely the MEDIUM.,Agent[02],MEDIUM,,"[-0.02819375  0.02829444  0.017705   ... -0.02416607  0.01024541
  0.02824409]"
1000,Agent[02] is not definitely the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.03061408  0.0378491  -0.01385294 ... -0.0096467   0.01705196
  0.01107242]"
1001,Agent[02] is not definitely the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.03782591  0.04203206 -0.01033153 ...  0.01164044  0.00420247
  0.03450217]"
1002,Agent[02] is not definitely the POSSESSED.,Agent[02],POSSESSED,,"[-0.04461744  0.05305615 -0.03629843 ...  0.00933645  0.0204534
  0.01864297]"
1003,Agent[03] is not definitely the VILLAGER.,Agent[03],VILLAGER,,"[-0.04577648  0.03555454 -0.01742173 ...  0.00146848  0.00982935
  0.0467246 ]"
1004,Agent[03] is not definitely the SEER.,Agent[03],SEER,,"[-0.03884544  0.02215605  0.01274214 ... -0.0046346   0.01402841
  0.02495369]"
1005,Agent[03] is not definitely the MEDIUM.,Agent[03],MEDIUM,,"[-0.0274858   0.02965266  0.03006936 ... -0.01920172  0.02065185
  0.03000269]"
1006,Agent[03] is not definitely the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.03141166  0.03815478  0.00100883 ... -0.00349448  0.02766081
  0.01398493]"
1007,Agent[03] is not definitely the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.03871159  0.04174094  0.00397966 ...  0.02009857  0.01507393
  0.03713866]"
1008,Agent[03] is not definitely the POSSESSED.,Agent[03],POSSESSED,,"[-0.04349876  0.05401071 -0.0215421  ...  0.01493882  0.03144703
  0.02071299]"
1009,Agent[04] is not definitely the VILLAGER.,Agent[04],VILLAGER,,"[-0.04177471  0.04449465 -0.02496726 ... -0.01116801  0.01011108
  0.04198166]"
1010,Agent[04] is not definitely the SEER.,Agent[04],SEER,,"[-0.03591177  0.02852096  0.00744214 ... -0.01538963  0.0146237
  0.02045108]"
1011,Agent[04] is not definitely the MEDIUM.,Agent[04],MEDIUM,,"[-0.02494883  0.03705074  0.02516405 ... -0.02965053  0.01920414
  0.02569381]"
1012,Agent[04] is not definitely the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.02603629  0.04669537 -0.00713247 ... -0.01436245  0.02749901
  0.00828174]"
1013,Agent[04] is not definitely the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.0346364   0.05313604 -0.00363437 ...  0.00850061  0.01413407
  0.03230233]"
1014,Agent[04] is not definitely the POSSESSED.,Agent[04],POSSESSED,,"[-0.03911779  0.06350749 -0.02743842 ...  0.00297691  0.03148864
  0.01522884]"
1015,I don't guess Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.02934369  0.01676981 -0.02732909 ... -0.02627316  0.00314521
  0.04954526]"
1016,I don't guess Agent[00] is the SEER.,Agent[00],SEER,,"[-1.86918732e-02  1.85572624e-03 -1.79380458e-02 ... -2.50763409e-02
  5.15012107e-05  2.72147525e-02]"
1017,I don't guess Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-0.00523156  0.01764042  0.01980572 ... -0.05272441  0.00867636
  0.03258557]"
1018,I don't guess Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.00733328  0.0283508   0.00493547 ... -0.03522703  0.02739577
  0.01293386]"
1019,I don't guess Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.00894651  0.02497512  0.00777287 ... -0.00341865  0.00456715
  0.03865645]"
1020,I don't guess Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.0223522   0.03712785 -0.02393181 ... -0.00484368  0.02608455
  0.01177719]"
1021,I don't guess Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.03494091  0.01570424 -0.02491868 ... -0.02152316 -0.00088482
  0.04367614]"
1022,I don't guess Agent[01] is the SEER.,Agent[01],SEER,,"[-0.0254906   0.00130843 -0.01540406 ... -0.02073682 -0.00342439
  0.02366222]"
1023,I don't guess Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.00747957  0.01965719  0.02091    ... -0.04677158  0.00786735
  0.02915766]"
1024,I don't guess Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01218326  0.02795538  0.00095371 ... -0.03006013  0.022707
  0.00842574]"
1025,I don't guess Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01200591  0.02190668  0.00354915 ...  0.00046914  0.00303273
  0.03226137]"
1026,I don't guess Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.02534657  0.03278802 -0.02667234 ... -0.00124292  0.02343631
  0.00964396]"
1027,I don't guess Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.02928097  0.01364756 -0.03196529 ... -0.01716045  0.00140208
  0.0486464 ]"
1028,I don't guess Agent[02] is the SEER.,Agent[02],SEER,,"[-0.02166117  0.00118401 -0.02475562 ... -0.02021206 -0.00069153
  0.02632549]"
1029,I don't guess Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[-0.00217957  0.02051188  0.01172738 ... -0.04446694  0.01222032
  0.03254827]"
1030,I don't guess Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01172191  0.02796077 -0.01092136 ... -0.02918437  0.025097
  0.01086929]"
1031,I don't guess Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.00787266  0.02259222 -0.00605195 ...  0.00337537  0.00607759
  0.03836318]"
